,screenName,userId,text,location,multi-team
162,bclieberjb,3246926345.0,@justinbieber I heard your team instinct! how many Pokemon did U catch so far?,"Philadelphia, PA",False
163,AlexisRennie,624936650.0,Gym #2 take over #TeamInstinct @MySilverLiningz 😜 https://t.co/XyOq87Bti0,"Burton, MI",False
164,jojosogone,2787192955.0,Taking over Los lunas 😋 #TeamInstinct,"Los Lunas, NM",False
165,NickoIasThomas,474594583.0,and you wanted me to join team yellow smh #TeamValor @thetexasboy91 https://t.co/G98iLTBpx6,"Florida, USA",False
166,NickoIasThomas,474594583.0,#TeamValor https://t.co/G98iLTBpx6,"Florida, USA",False
167,desperatelydes,3487033098.0,on Pokemon go I chose team Valor did I choose the right one,"Seattle, WA",False
168,itscameryn,713517703.0,When you thought that they were worth it but they choose team valor :////,"Sandy, UT",False
169,TeammysticHI,7.525876784958874e+17,That's fricken cool!! #TeamMystic #PokemonGO  https://t.co/JwqdD72EnD,"Honolulu, HI",False
170,__ry3,582308038.0,F y'all team instinct go  https://t.co/t2rFyE0jv6,"Lorain, OH",False
171,bclieberjb,3246926345.0,@AlfredoFlores what team is Justin on in Pokemon go? 😂😁 I'm team mystic,"Philadelphia, PA",False
172,josh_f3lix,2528377350.0,#TeamMystic  https://t.co/4viavN46R9,"Ontario, CA",False
173,GregoryBoland,1008033710.0,Why does team Instinct hold the gym at work,"Ellensburg, WA",False
174,ohmyhwnt,1707724142.0,"I've lost friends because of Pokémon GO. 
#TeamMystic","Shakopee, MN",False
175,chriso_25,1385978724.0,@kobaebryant team valor,"Gilroy, CA",False
176,Jonathanxromero,2750298651.0,Guess who's playing @PokemonGoApp !? This guy ✋ #TeamInstinct #PokemonGO https://t.co/KdWmBtFlIk,"Anaheim, CA",False
177,NotDeadYetBuddy,56482695.0,"@TayZonday are you ""RealTayZonday"" on Pokémon GO? Because if you are, I'm sad that you picked Team Valor.","Burbank, CA",False
178,FunnyAssAlvin_,1960400113.0,We're officially divided by our #PokemonGO #Team 😂#TeamValor,"Stockton, CA",False
179,MPCZ2,2504789287.0,#TeamValor hate on it.,"Dallas, TX",False
180,djbrigidope,14594391.0,📍📍 theres two #teamvalor gyms here. Looks like yellow active too. Slide through to… https://t.co/ZYrTj3Jdww,"San Francisco, CA",False
181,vanes002,405748032.0,@RayBan1988 🙄😒 a few almost 10! #TeamInstinct,"California, USA",False
182,Movie_Jack,1647676136.0,I have to admit that I am filled with pride knowing how many of my closest friends are on team Valor. #PokemonGo,"Los Angeles, CA",False
183,philomenashea,2313248244.0,Ur a disgrace to team mystic if you dont agree kys https://t.co/vGWZVUEbs7,"Gilbert, AZ",False
184,Jxnnxcxxamxs,2815746072.0,Jkfilms is team valor 🎈🤘🏽,"California, USA",False
185,TaraLaRosa,146322653.0,@RyannVonDoom @TeamMysticPGO Hahaha! Cooler heads will always prevail! #TeamMystic,"Fenton, MO",False
186,PokemonGoPR_,7.514815630119485e+17,@lordcchepo plus esta en su nombre #TeamMystic Articuno. Somos numero 1 y pues Moltres :c 😭 3ro,"Universidad, USA",False
187,arnold,7221.0,@Jitterro @airencracken go Team Mystic 👍🏽,"Santa Monica, CA",False
188,PokemonGoPR_,7.514815630119485e+17,"Si, lo digo y lo afirmo, Articuno tiene las defensas mas altas de los tres.🤔 #TeamMystic y se escribe con ""y"" 😂😉 https://t.co/GNj5Aq2DzG","Sabana Llana Norte, Puerto Rico",False
189,PerlaGChavira,347642026.0,"@Armando101097 hmm well chose team valor, the red one, once you visit a Pokemon gym. I'm on that team.","Imperial, CA",False
190,_iwenttojared,27690856.0,"Every time I see a team instinct I just think ""pussy couldn't pick a real side.""","Fresno, CA",False
191,Whoabot,36217454.0,@afgbruins21 anyhow I see you are team valor and we are now great friends ok,"Tukwila, WA",False
192,acidgitfs,1183780250.0,#TeamValor yeah I'm into this type of shit. https://t.co/XvzvyIt2KS,"North Carolina, USA",False
193,HowIMetSaul,1350610603.0,Team Instinct only,"Walnut Grove, WA",False
194,TheJarell,496679549.0,@treybay_bay @taylorswift13 @selenagomez This is blasphemy they're team instinct all the way.,"Chicago, IL",False
195,bbybiscuit,243451575.0,Team Instinct has been slowly creeping into gyms in Edinburg. :-),"Edinburg, TX",False
196,UnicornPrincez4,2345830963.0,@ScaleMarauder13 omg! Well level 5 is when u choose so when u get there you should pick🔥 #TeamValor 🔥😉,"Corvallis, OR",False
197,megan_kimm,2810522432.0,@Bradley_Fitz_ Team instinct is a joke my friend.,"Fullerton, CA",False
198,MintyFawn,3233217560.0,I require no sleep since #pokemongo #pokemon #teamblue #teammystic #gottacatchemall #nintendo… https://t.co/L6ICOQ3okY,"Cedar Hill, TX",False
199,zack_norton123,2540925527.0,Team instinct needs to tighten up,"Coconut Creek, FL",False
200,TeamMysticCOSpr,7.524057326040146e+17,#TeamMystic @TeamMysticPGO @MysticDenver Late night Eeveelution! Congirmed that Eevee's name changes its elolution! https://t.co/Qw8J87Desv,"Denver, CO",False
201,MadBeets,52657111.0,#teamyellow #teaminstinct #PokemonGo @ Smallwood Park https://t.co/zlNAT73VO0,"Costa Mesa, CA",False
202,ReadyEddie760,868738351.0,Today was a Poke No Go in Santa Monica couldn't log in with hundreds of people there #TeamInstinct https://t.co/UmXRJOQWch,"Los Angeles, CA",False
203,lizvil1102,1676633874.0,Team instinct 💛💛👑✨ https://t.co/ljqvN1qGCg,"Richfield, MN",False
204,AKA_Snaps,2500830669.0,TEAM MYSTIC SQUAAAD @oblanchard122 https://t.co/crYl9K4lzL,"Bethany Beach, DE",False
205,ThomasDalziel,575038432.0,Yasss finally! ❤️🔥 #Flareon #Eevee #PokemonGO #TeamMystic https://t.co/OkfHGW0ajr,"Lincroft, NJ",False
206,SwAg_5,138930518.0,@shutupjnette word!! Because it's all about team Valor 💯,"Arbuckle, CA",False
207,MarcoPadilla10,376714416.0,"I need some team Instinct players to come take over some gyms with me, who's down tomorrow?","Brownsville, TX",False
208,SwAg_5,138930518.0,@shutupjnette what level are you? Team mystic though? La cagas 🙄,"Arbuckle, CA",False
209,acklesjense,3044928786.0,@babbuDean #TeamInstinct better known as TEAM WINSTINCT~~ 🤘🏼⚡️,"Las Vegas, NV",False
210,LifeOfMadz,600603484.0,Finally #TeamValor ❤️,"Fridley, MN",False
